,accuracy,balanced_accuracy,f1,precision,recall,fbeta,model,sampling,tn,fp,fn,tp,itr,bci_accuracy,channels,discretization,epochs
431,0.9244444444444444,0.6950000000000001,0.5405405405405406,0.8333333333333334,0.4,0.6849315068493151,CatBoost_untuned,real,198,2,15,10,0.462468018726699,0.1,4,60,4
432,0.9395973154362416,0.8287124060150376,0.7096774193548386,0.7333333333333333,0.6875,0.7236842105263157,LDA,real,129,4,5,11,1.5144868486846264,0.2,4,60,6
433,0.9530201342281879,0.8087406015037594,0.7407407407407406,0.9090909090909091,0.625,0.8333333333333333,SVM,real,132,1,6,10,5.353739315689691,0.4,4,60,6
434,0.9463087248322147,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,RF_untuned,real,133,0,8,8,0.0,0.0,4,60,6
435,0.9194630872483222,0.625,0.4,1.0,0.25,0.625,RF,real,133,0,12,4,0.0,0.0,4,60,6
436,0.9530201342281879,0.78125,0.72,1.0,0.5625,0.8653846153846154,XGB_untuned,real,133,0,7,9,5.353739315689691,0.4,4,60,6
437,0.9530201342281879,0.78125,0.72,1.0,0.5625,0.8653846153846154,XGB,real,133,0,7,9,1.5144868486846264,0.2,4,60,6
438,0.9328859060402684,0.6875,0.5454545454545454,1.0,0.375,0.75,LGB_untuned,real,133,0,10,6,0.0,0.0,4,60,6
439,0.959731543624161,0.8125,0.7692307692307693,1.0,0.625,0.8928571428571429,LGB,real,133,0,6,10,1.5144868486846264,0.2,4,60,6
440,0.9328859060402684,0.6875,0.5454545454545454,1.0,0.375,0.75,CatBoost_untuned,real,133,0,10,6,1.5144868486846264,0.2,4,60,6
441,0.9196428571428571,0.735,0.5714285714285715,0.6666666666666666,0.5,0.625,LDA,real,97,3,6,6,1.1358651365134698,0.2,4,60,8
442,0.9732142857142857,0.875,0.8571428571428571,1.0,0.75,0.9375,SVM,real,100,0,3,9,7.932337585218177,0.6,4,60,8
443,0.9375,0.7083333333333334,0.5882352941176471,1.0,0.4166666666666667,0.78125,RF_untuned,real,100,0,7,5,1.1358651365134698,0.2,4,60,8
444,0.9375,0.7083333333333334,0.5882352941176471,1.0,0.4166666666666667,0.78125,RF,real,100,0,7,5,1.1358651365134698,0.2,4,60,8
445,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,XGB_untuned,real,100,0,6,6,1.1358651365134698,0.2,4,60,8
446,0.9285714285714286,0.7033333333333334,0.5555555555555556,0.8333333333333334,0.4166666666666667,0.6944444444444445,XGB,real,99,1,7,5,0.0,0.0,4,60,8
447,0.9464285714285714,0.7866666666666666,0.7000000000000001,0.875,0.5833333333333334,0.7954545454545454,LGB_untuned,real,99,1,5,7,4.015304486767269,0.4,4,60,8
448,0.9553571428571429,0.7916666666666667,0.7368421052631579,1.0,0.5833333333333334,0.875,LGB,real,100,0,5,7,4.015304486767269,0.4,4,60,8
449,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,CatBoost_untuned,real,100,0,6,6,1.1358651365134698,0.2,4,60,8
450,0.8766666666666667,0.6112500000000001,0.32727272727272727,0.4153846153846154,0.27,0.375,LDA,real,762,38,73,27,0.3009749318788539,0.06,8,60,1
